city,lat,lon,popul,country
Le Mee-sur-Seine,48.5333,2.6289,20816,France
Acheres,48.9602,2.0684,21017,France
Nogent-sur-Oise,49.2756,2.4683,20033,France
Hendaye,43.3586,-1.7744,16484,France
Beausoleil,43.7419,7.4236,13607,France
Ferney-Voltaire,46.2558,6.1081,9766,France
Huningue,47.5914,7.5831,7238,France
Avignon,43.95,4.8075,93671,France
Epinal,48.1744,6.4512,93184,France
Dunkerque,51.0383,2.3775,87353,France
Beziers,43.3476,3.219,77177,France
Merignac,44.8386,-0.6436,70105,France
Saint-Nazaire,47.2806,-2.2086,69993,France
Colmar,48.0817,7.3556,69105,France
Valence,44.9333,4.8917,63714,France
Bourges,47.0844,2.3964,64551,France
Pessac,44.8067,-0.6311,63808,France
Quimper,47.9967,-4.0964,62985,France
Montelimar,44.5581,4.7508,61861,France
Montauban,44.0181,1.3558,60810,France
Niort,46.3258,-0.4606,58707,France
Beauvais,49.4303,2.0952,56020,France
Hyeres,43.1199,6.1316,55588,France
Narbonne,43.1836,3.0042,54700,France
La Roche-sur-Yon,46.6705,-1.426,54372,France
Vannes,47.6559,-2.7603,53352,France
Cholet,47.06,-0.8783,53917,France
Frejus,43.433,6.737,52672,France
Bayonne,43.49,-1.48,51228,France
Arles,43.6767,4.6278,52548,France
Grasse,43.6667,6.9167,50396,France
Laval,48.0733,-0.7689,49492,France
Albi,43.9289,2.1464,48970,France
Evreux,49.02,1.15,47733,France
Martigues,43.4053,5.0475,48188,France
Brive-la-Gaillarde,45.1583,1.5321,46916,France
Charleville-Mezieres,49.7719,4.7161,46428,France
Saint-Herblain,47.2122,-1.6497,46268,France
Saint-Priest,45.6972,4.9447,46207,France
Blois,47.5939,1.3281,46086,France
Saint-Malo,48.6481,-2.0075,46097,France
Aubagne,43.2908,5.5708,46268,France
Carcassonne,43.21,2.35,46031,France
Chalons-en-Champagne,48.9575,4.365,44753,France
Salon-de-Provence,43.6406,5.0972,45528,France
Les Sables-d'Olonne,46.4972,-1.7833,44017,France
Saint-Germain-en-Laye,48.8989,2.0938,44753,France
Chateauroux,46.8103,1.6911,43741,France
Sete,43.4053,3.6975,43229,France
Angouleme,45.65,0.16,41740,France
