city,lat,lon,popul,country
Pohrebyshche,49.4869,29.2733,9525,Ukraine
Dubrovytsya,51.5667,26.5667,9424,Ukraine
Staryy Krym,45.0292,35.0886,9370,Ukraine
Tysmenytsya,48.9008,24.8492,9287,Ukraine
Irshava,48.3172,23.0375,9276,Ukraine
Khotyn,48.5,26.5,9262,Ukraine
Horodenka,48.6675,25.5003,9113,Ukraine
Valky,49.8386,35.6217,9235,Ukraine
Kalanchak,46.255,33.2906,9224,Ukraine
Horokhiv,50.4994,24.765,9134,Ukraine
Tyachiv,48.0114,23.5722,9019,Ukraine
Pomichna,48.25,31.4167,8994,Ukraine
Chop,48.4333,22.2,8897,Ukraine
Chyhyryn,49.0833,32.6667,8962,Ukraine
Monastyryshche,48.99,29.8011,8925,Ukraine
Tlumach,48.8669,25.0012,8886,Ukraine
Rava-Rus'ka,50.25,23.6167,8647,Ukraine
Solotvyno,47.9597,23.8669,8632,Ukraine
Bus'k,49.9667,24.6167,8624,Ukraine
Barvynkove,48.9067,37.0131,8660,Ukraine
Andrushivka,50.0167,29.0167,8606,Ukraine
Kosiv,48.315,25.0953,8522,Ukraine
Lypovets',49.2161,29.0561,8463,Ukraine
Zavodske,50.4002,33.3908,8180,Ukraine
Yaremche,48.4536,24.5564,8094,Ukraine
Artemivsk,48.4403,38.7422,7506,Ukraine
Pivdenne,49.8849,36.0687,7705,Ukraine
Rohatyn,49.4167,24.6167,7797,Ukraine
Novoselytsya,48.2167,26.2667,7588,Ukraine
Rzhyshchiv,49.9611,31.0436,7359,Ukraine
Shyryayeve,47.3878,30.1911,7238,Ukraine
Kupiansk,49.7064,37.6167,6893,Ukraine
Sharhorod,48.75,28.0833,7029,Ukraine
Molochans'k,47.2038,35.5985,7040,Ukraine
Vorozhba,51.1749,34.2299,6972,Ukraine
Pryvillya,48.9999,38.2948,6970,Ukraine
Oleksandrivsk,48.5833,39.1833,6709,Ukraine
Perechyn,48.7333,22.4667,6683,Ukraine
Lityn,49.3255,28.0872,6658,Ukraine
Staryy Sambir,49.4333,23.0,6630,Ukraine
Sudova Vyshnya,49.7892,23.3722,6538,Ukraine
Halych,49.1128,24.7217,6196,Ukraine
Blahovishchenske,48.3197,30.2353,6232,Ukraine
Morshyn,49.155,23.8725,5850,Ukraine
Chudniv,50.0528,28.0969,5583,Ukraine
Cheremoshna,51.3894,30.0989,0,Ukraine
